Date,Name,Year,Letterboxd URI,Rating
2024-09-21,Scary Movie 2,2001,https://boxd.it/24Cw,3
2024-09-21,Scary Movie 3,2003,https://boxd.it/24Be,2.5
2024-09-21,Scary Movie 4,2006,https://boxd.it/24B4,3
2024-09-21,Scary Movie 5,2013,https://boxd.it/24AU,1.5
2024-09-21,Kick-Ass,2010,https://boxd.it/1zaQ,4.5
2024-09-21,Kick-Ass 2,2013,https://boxd.it/hqu,4
2024-09-21,Zombieland,2009,https://boxd.it/1En6,3.5
2024-09-21,Piranha 3D,2010,https://boxd.it/U5q,3
2024-09-21,Piranha 3DD,2012,https://boxd.it/2qow,2.5
2024-09-21,Constantine,2005,https://boxd.it/2a7E,4.5
2024-09-21,The Matrix,1999,https://boxd.it/2a1m,5
2024-09-21,The Matrix Reloaded,2003,https://boxd.it/2a1c,4
2024-09-21,The Matrix Revolutions,2003,https://boxd.it/2a12,4
2024-09-21,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2024-09-21,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2024-09-21,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,5
2024-09-21,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk,5
2024-09-21,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/nmS,5
2024-09-21,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU,5
2024-09-21,Forrest Gump,1994,https://boxd.it/728,4.5
2024-09-21,The Breakfast Club,1985,https://boxd.it/27q4,4
2024-09-21,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,4
2024-09-21,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/2bfk,4
2024-09-21,Pirates of the Caribbean: At World's End,2007,https://boxd.it/2aGu,4.5
2024-09-21,Pirates of the Caribbean: On Stranger Tides,2011,https://boxd.it/27Z4,4
2024-09-21,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/5a9m,3.5
2024-09-21,Spider-Man,2002,https://boxd.it/2a8i,4.5
2024-09-21,Spider-Man 2,2004,https://boxd.it/2a88,4
2024-09-21,Spider-Man 3,2007,https://boxd.it/2a7Y,4.5
2024-09-21,The Amazing Spider-Man,2012,https://boxd.it/27PI,3.5
2024-09-21,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,3.5
2024-09-21,The Wolverine,2013,https://boxd.it/2CWU,3.5
2024-09-21,X-Men Origins: Wolverine,2009,https://boxd.it/27ug,4
2024-09-21,Logan,2017,https://boxd.it/7Piy,4.5
2024-09-21,Deadpool,2016,https://boxd.it/9fOC,4
2024-09-21,Deadpool 2,2018,https://boxd.it/dlLM,4
2024-09-21,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2024-09-21,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3.5
2024-09-21,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,4
2024-09-21,Ant-Man,2015,https://boxd.it/3vmW,3.5
2024-09-21,Captain America: The First Avenger,2011,https://boxd.it/28b0,3.5
2024-09-21,The Avengers,2012,https://boxd.it/1xFW,3.5
2024-09-21,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3
2024-09-21,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2024-09-21,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2024-09-21,Spider-Man: Far From Home,2019,https://boxd.it/fegG,4
2024-09-21,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4.5
2024-09-21,Spider-Man: Homecoming,2017,https://boxd.it/aboM,5
2024-09-21,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,4
2024-09-21,The Hunger Games,2012,https://boxd.it/2uds,4
2024-09-21,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,4
2024-09-21,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,3.5
2024-09-21,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4hk0,3.5
2024-09-21,Avatar,2009,https://boxd.it/1Efm,3.5
2024-09-21,Gravity,2013,https://boxd.it/GZY,3.5
2024-09-21,Wrong Turn,2003,https://boxd.it/1Xzq,2.5
2024-09-21,Wrong Turn 2: Dead End,2007,https://boxd.it/1QDA,2.5
2024-09-21,Wrong Turn 3: Left for Dead,2009,https://boxd.it/1yJ6,2
2024-09-21,Hostel,2005,https://boxd.it/28ig,3.5
2024-09-21,Silent Hill,2006,https://boxd.it/2a3C,4
2024-09-21,Silent Hill: Revelation 3D,2012,https://boxd.it/eH8,2.5
2024-09-21,The Cabin in the Woods,2011,https://boxd.it/1zOc,3.5
2024-09-21,Sinister,2012,https://boxd.it/2TnW,3.5
2024-09-21,Insidious,2010,https://boxd.it/H4k,3.5
2024-09-21,Insidious: Chapter 2,2013,https://boxd.it/3dqc,3
2024-09-21,Evil Dead,2013,https://boxd.it/3GPq,3.5
2024-09-21,It Follows,2014,https://boxd.it/87wo,4
2024-09-21,Back to the Future,1985,https://boxd.it/2b8e,4.5
2024-09-21,Back to the Future Part II,1989,https://boxd.it/2aYI,4
2024-09-21,Back to the Future Part III,1990,https://boxd.it/2aTS,3.5
2024-09-21,The Terminator,1984,https://boxd.it/2aQY,4
2024-09-21,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,4.5
2024-09-21,Terminator Genisys,2015,https://boxd.it/35s0,2
2024-09-21,The Incredible Hulk,2008,https://boxd.it/28dU,3
2024-09-21,Hulk,2003,https://boxd.it/27PS,3
2024-09-21,Iron Man,2008,https://boxd.it/28dA,4
2024-09-21,Iron Man 2,2010,https://boxd.it/1WZM,3
2024-09-21,Iron Man 3,2013,https://boxd.it/2cBQ,3
2024-09-21,Green Lantern,2011,https://boxd.it/QN4,2.5
2024-09-21,The Dark Knight,2008,https://boxd.it/2b0k,5
2024-09-21,Batman Begins,2005,https://boxd.it/2aIg,4.5
2024-09-21,The Dark Knight Rises,2012,https://boxd.it/H3m,4.5
2024-09-21,Ghost Rider,2007,https://boxd.it/290M,3.5
2024-09-21,Ghost Rider: Spirit of Vengeance,2011,https://boxd.it/2qne,2.5
2024-09-21,Doctor Strange,2016,https://boxd.it/8MH8,4
2024-09-21,The Marvels,2023,https://boxd.it/mwU4,2.5
2024-09-21,The Prestige,2006,https://boxd.it/293w,5
2024-09-21,Now You See Me,2013,https://boxd.it/2Bsu,3.5
2024-09-21,Déjà Vu,2006,https://boxd.it/20PQ,3.5
2024-09-21,Tenet,2020,https://boxd.it/leq4,4.5
2024-09-21,Looper,2012,https://boxd.it/ham,4
2024-09-21,Upgrade,2018,https://boxd.it/i4gW,3
2024-09-21,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG,3.5
2024-09-21,Idiocracy,2006,https://boxd.it/20RW,3.5
2024-09-21,How High,2001,https://boxd.it/20fo,4
2024-09-21,Ted,2012,https://boxd.it/2pgc,3.5
2024-09-21,Mr. Nobody,2009,https://boxd.it/1k44,4.5
2024-09-21,Primer,2004,https://boxd.it/6YA,3
2024-09-21,Predestination,2014,https://boxd.it/6bJM,4.5
2024-09-21,Memento,2000,https://boxd.it/2bcK,4.5
2024-09-21,Se7en,1995,https://boxd.it/29zs,4.5
2024-09-21,Sky Hook,2000,https://boxd.it/3IhA,4
2024-09-21,Wheels,1998,https://boxd.it/1zuc,3.5
2024-09-21,The Wounds,1998,https://boxd.it/CjO,4.5
2024-09-21,Skinning,2010,https://boxd.it/njk,3.5
2024-09-21,Strawberry in the Supermarket,2003,https://boxd.it/1U0i,3.5
2024-09-21,Ex Machina,2015,https://boxd.it/7T2k,4
2024-09-21,Yes Man,2008,https://boxd.it/1WPW,3.5
2024-09-21,Bruce Almighty,2003,https://boxd.it/2aCC,3.5
2024-09-21,Tenacious D in The Pick of Destiny,2006,https://boxd.it/27go,4.5
2024-09-21,The Mask,1994,https://boxd.it/29rS,4
2024-09-21,Son of the Mask,2005,https://boxd.it/1WNQ,2.5
2024-09-21,The Truman Show,1998,https://boxd.it/18U8,4.5
2024-09-21,Fight Club,1999,https://boxd.it/2a9q,4.5
2024-09-21,Joker,2019,https://boxd.it/h4cS,4.5
2024-09-21,The Butterfly Effect 2,2006,https://boxd.it/1NIM,2
2024-09-21,The Butterfly Effect 3: Revelations,2009,https://boxd.it/1KtY,2
2024-09-21,Saw,2004,https://boxd.it/2aWW,4.5
2024-09-21,The Collector,2009,https://boxd.it/1BY4,3.5
2024-09-21,The Collection,2012,https://boxd.it/4lKm,3
2024-09-21,Don't Breathe,2016,https://boxd.it/9yzw,4
2024-09-21,The Invisible Man,2020,https://boxd.it/kWlA,3.5
2024-09-21,Oculus,2013,https://boxd.it/4W9M,3
2024-09-21,As the Gods Will,2014,https://boxd.it/76T0,3.5
2024-09-21,Battle Royale,2000,https://boxd.it/25zS,4
2024-09-21,GANTZ:O,2016,https://boxd.it/dRTI,4
2024-09-21,Doom,2005,https://boxd.it/1ZOW,3
2024-09-21,Annihilation,2018,https://boxd.it/9yzm,3
2024-09-21,Arrival,2016,https://boxd.it/aNGk,4.5
2024-09-21,Edge of Tomorrow,2014,https://boxd.it/4pD0,4
2024-09-21,Alien,1979,https://boxd.it/2awY,4.5
2024-09-21,Aliens,1986,https://boxd.it/29PA,4
2024-09-21,Alien³,1992,https://boxd.it/20zS,3.5
2024-09-21,Alien Resurrection,1997,https://boxd.it/20zI,3
2024-09-21,The Martian,2015,https://boxd.it/8SeG,4
2024-09-21,What Happened to Monday,2017,https://boxd.it/ejUu,3.5
2024-09-21,Children of Men,2006,https://boxd.it/1Y2i,3
2024-09-21,The Purge,2013,https://boxd.it/4Xg0,3
2024-09-21,The Purge: Anarchy,2014,https://boxd.it/71zk,3
2024-09-21,The Purge: Election Year,2016,https://boxd.it/ae5I,3
2024-09-21,RoboCop,1987,https://boxd.it/22Wu,4
2024-09-21,I Am Legend,2007,https://boxd.it/21DG,3.5
2024-09-21,The Blair Witch Project,1999,https://boxd.it/26ua,1.5
2024-09-21,All Dogs Go to Heaven,1989,https://boxd.it/1TIo,5
2024-09-21,The Lion King,1994,https://boxd.it/201Q,5
2024-09-21,Snow White and the Seven Dwarfs,1937,https://boxd.it/2arO,4
2024-09-21,Frozen,2013,https://boxd.it/3GNa,3
2024-09-21,Aladdin,1992,https://boxd.it/29yE,4
2024-09-21,Shrek,2001,https://boxd.it/29zi,5
2024-09-21,Shrek 2,2004,https://boxd.it/29z8,4
2024-09-21,Shrek the Third,2007,https://boxd.it/29yY,3.5
2024-09-21,Shrek Forever After,2010,https://boxd.it/1WRo,4
2024-09-21,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,4
2024-09-21,Ice Age,2002,https://boxd.it/2apS,4
2024-09-21,Ice Age: The Meltdown,2006,https://boxd.it/2wRk,3
2024-09-21,Ice Age: Dawn of the Dinosaurs,2009,https://boxd.it/20iC,4
2024-09-21,"Monsters, Inc.",2001,https://boxd.it/2a46,4.5
2024-09-21,Finding Nemo,2003,https://boxd.it/72i,4.5
2024-09-21,Horton Hears a Who!,2008,https://boxd.it/1SfA,3.5
2024-09-21,Madagascar,2005,https://boxd.it/29dc,4.5
2024-09-21,Monsters University,2013,https://boxd.it/bQm,4
2024-09-21,Help! I'm a Fish,2000,https://boxd.it/1RAs,4
2024-09-21,Tarzan,1999,https://boxd.it/18YO,4.5
2024-09-21,Hercules,1997,https://boxd.it/1SDW,5
2024-09-21,Dune: Part Two,2024,https://boxd.it/pUfA,4.5
2024-09-21,The Dictator,2012,https://boxd.it/2DEW,4
2024-09-21,Oldboy,2003,https://boxd.it/29R2,4
2024-09-21,American Pie,1999,https://boxd.it/27qy,3
2024-09-21,Snowpiercer,2013,https://boxd.it/3Icg,3.5
2024-09-21,The Lobster,2015,https://boxd.it/7tnw,5
2024-09-21,The Menu,2022,https://boxd.it/lScm,4
2024-09-21,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,5
2024-09-21,It Chapter Two,2019,https://boxd.it/h10u,2.5
2024-09-21,It,2017,https://boxd.it/bC8e,4
2024-09-21,A Serbian Film,2010,https://boxd.it/2wBc,1.5
2024-09-21,Jet Set,2007,https://boxd.it/65Tw,5
2024-09-21,"When I Grow Up, I'll Be a Kangaroo",2004,https://boxd.it/syY,4
2024-09-21,Spirited Away,2001,https://boxd.it/2b4m,5
2024-09-21,American Psycho,2000,https://boxd.it/28Vs,3.5
2024-09-21,Dudes!,2001,https://boxd.it/1xCI,4
2024-09-21,Dudes Again!,2023,https://boxd.it/Bj5i,2.5
2024-09-21,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2024-09-21,Frozen Stiff,2002,https://boxd.it/1Mtc,4.5
2024-09-22,DAHMER - Monster: The Jeffrey Dahmer Story,2022,https://boxd.it/CRG0,4.5
2024-09-22,Squid Game,2021,https://boxd.it/x1OG,4
2024-09-22,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,3.5
2024-09-22,Chernobyl,2019,https://boxd.it/mkbG,4.5
2024-09-22,"Love, Death & Robots: Zima Blue",2019,https://boxd.it/lJGM,5
2024-09-22,"Love, Death & Robots: The Witness",2019,https://boxd.it/lFO8,5
2024-09-22,"Love, Death & Robots: Three Robots",2019,https://boxd.it/lECK,3.5
2024-09-22,"Love, Death & Robots: Sonnie's Edge",2019,https://boxd.it/lECg,3
2024-09-22,"Love, Death & Robots: When the Yogurt Took Over",2019,https://boxd.it/lFSY,3.5
2024-09-22,"Love, Death & Robots: Beyond the Aquila Rift",2019,https://boxd.it/lGTe,4.5
2024-09-22,"Love, Death & Robots: Good Hunting",2019,https://boxd.it/lJFO,3.5
2024-09-22,"Love, Death & Robots: The Secret War",2019,https://boxd.it/lN0g,3.5
2024-09-22,"Love, Death & Robots: Ice Age",2019,https://boxd.it/lJG8,3
2024-09-22,"Love, Death & Robots: Suits",2019,https://boxd.it/lFOM,3
2024-09-22,"Love, Death & Robots: Alternate Histories",2019,https://boxd.it/lJHg,2.5
2024-09-22,"Love, Death & Robots: Fish Night",2019,https://boxd.it/lJGs,3.5
2024-09-22,"Love, Death & Robots: Sucker of Souls",2019,https://boxd.it/lFOW,3.5
2024-09-22,"Love, Death & Robots: Shape-Shifters",2019,https://boxd.it/lJFY,2.5
2024-09-22,"Love, Death & Robots: Helping Hand",2019,https://boxd.it/lJGW,3
2024-09-22,"Love, Death & Robots: The Dump",2019,https://boxd.it/lJGi,3.5
2024-09-22,"Love, Death & Robots: Lucky 13",2019,https://boxd.it/lJGC,3
2024-09-22,"Love, Death & Robots: Blindspot",2019,https://boxd.it/lJH6,2.5
2024-09-22,"Love, Death & Robots: Pop Squad",2021,https://boxd.it/vhLE,4
2024-09-22,"Love, Death & Robots: The Drowned Giant",2021,https://boxd.it/vdRo,3.5
2024-09-22,"Love, Death & Robots: Ice",2021,https://boxd.it/vhLu,4
2024-09-22,"Love, Death & Robots: Automated Customer Service",2021,https://boxd.it/vhLk,2
2024-09-22,"Love, Death & Robots: All Through the House",2021,https://boxd.it/vhXA,3.5
2024-09-22,"Love, Death & Robots: The Tall Grass",2021,https://boxd.it/vdQU,3.5
2024-09-22,"Love, Death & Robots: Snow in the Desert",2021,https://boxd.it/vhLO,3
2024-09-22,"Love, Death & Robots: Life Hutch",2021,https://boxd.it/vdRe,2.5
2024-09-22,"Love, Death & Robots: Bad Travelling",2022,https://boxd.it/BykM,4.5
2024-09-22,"Love, Death & Robots: Jibaro",2022,https://boxd.it/EqO6,5
2024-09-22,"Love, Death & Robots: Night of the Mini Dead",2022,https://boxd.it/AW6s,3
2024-09-22,"Love, Death & Robots: The Very Pulse of the Machine",2022,https://boxd.it/AW5O,3.5
2024-09-22,"Love, Death & Robots: Mason's Rats",2022,https://boxd.it/AW76,4
2024-09-22,"Love, Death & Robots: Kill Team Kill",2022,https://boxd.it/AW6M,3
2024-09-22,"Love, Death & Robots: In Vaulted Halls Entombed",2022,https://boxd.it/AW7A,4
2024-09-22,"Love, Death & Robots: Swarm",2022,https://boxd.it/AW84,4
2024-09-22,"Love, Death & Robots: Three Robots: Exit Strategies",2022,https://boxd.it/AVpy,3.5
2024-09-22,ERASED,2016,https://boxd.it/px1A,5
2024-09-22,Prison School,2015,https://boxd.it/py4A,3.5
2024-09-22,I Origins,2014,https://boxd.it/7aRM,4.5
2024-09-22,Black Mirror: Be Right Back,2013,https://boxd.it/hRpw,3.5
2024-09-22,The Future Diary,2011,https://boxd.it/qIFS,3
2024-09-22,Steins;Gate,2011,https://boxd.it/psNE,5
2024-09-22,Steins;Gate 0,2018,https://boxd.it/px40,4.5
2024-09-22,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,3
2024-09-22,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,4
2024-09-22,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,4
2024-09-22,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,4
2024-09-22,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/b8vM,4
2024-09-22,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1PcS,4.5
2024-09-22,Death Note,2006,https://boxd.it/psEs,5
2024-09-22,Pan's Labyrinth,2006,https://boxd.it/28No,4
2024-09-22,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,5
2024-09-22,The Terminal,2004,https://boxd.it/2a2O,4.5
2024-09-22,School of Rock,2003,https://boxd.it/28xK,4
2024-09-22,Phone Booth,2002,https://boxd.it/285G,3
2024-09-22,The Road to El Dorado,2000,https://boxd.it/1W6s,4.5
2024-09-22,Kirikou and the Sorceress,1998,https://boxd.it/1C3y,4.5
2024-09-22,Yu-Gi-Oh!,1998,https://boxd.it/u3RQ,5
2024-09-22,Space Jam,1996,https://boxd.it/26YO,3.5
2024-09-22,The Craft,1996,https://boxd.it/1Zai,3
2024-09-22,Ghost in the Shell,1995,https://boxd.it/1YYc,4
2024-09-22,The Little Mermaid,1989,https://boxd.it/1WYO,4
2024-09-22,My Neighbor Totoro,1988,https://boxd.it/20eA,5
2024-09-22,Underground,1995,https://boxd.it/1SOA,4.5
2024-09-22,Ergo Proxy,2006,https://boxd.it/pDni,4.5
2024-09-22,Serial Experiments Lain,1998,https://boxd.it/hYQE,5
2024-09-25,Prisoners,2013,https://boxd.it/4E5i,4
2024-09-26,Vampire Hunter D: Bloodlust,2000,https://boxd.it/1L3i,4
2024-10-11,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2024-10-13,The Platform 2,2024,https://boxd.it/Gz88,4
2024-10-14,Terrifier,2016,https://boxd.it/eRzg,2
2024-10-16,Time Trap,2017,https://boxd.it/ggMw,3.5
2024-10-16,Ghost in the Shell,2017,https://boxd.it/abTA,3
2024-10-19,Tusk,2014,https://boxd.it/7eoa,2
2024-10-20,The Watchers,2024,https://boxd.it/F6Rw,3
2024-10-21,Prometheus,2012,https://boxd.it/2s9e,3.5
2024-10-22,Alien: Covenant,2017,https://boxd.it/49UY,4.5
2024-10-23,The Union,2024,https://boxd.it/qkD4,2
2024-11-05,Another Round,2020,https://boxd.it/lkba,4
2024-11-14,Megan Is Missing,2011,https://boxd.it/sKJG,0.5
2024-11-20,The Penguin,2024,https://boxd.it/QkIU,4.5
2024-11-23,The Godfather,1972,https://boxd.it/2aNK,4
2024-11-27,The Substance,2024,https://boxd.it/zanS,3
2024-11-28,The Silence of the Lambs,1991,https://boxd.it/2aHW,5
2024-12-02,Poor Things,2023,https://boxd.it/tNWU,4.5
2024-12-02,The Void,2016,https://boxd.it/d93S,3
2025-01-02,Being John Malkovich,1999,https://boxd.it/2ahu,5
2025-01-03,The Boy in the Striped Pyjamas,2008,https://boxd.it/1NOK,4
2025-01-04,The Black Bomber,1992,https://boxd.it/3Ggg,4.5
2025-01-05,Passengers,2016,https://boxd.it/8lFu,3.5
2025-01-11,Venom: The Last Dance,2024,https://boxd.it/ynqo,5
2025-01-11,Venom: Let There Be Carnage,2021,https://boxd.it/llco,5
2025-01-11,Venom,2018,https://boxd.it/b8wA,5
2025-01-12,Next to Us,2024,https://boxd.it/nziE,3
2025-01-12,"Next to Me, Musical",2018,https://boxd.it/l002,2
2025-01-12,Sheitan Warrior,2006,https://boxd.it/3Lfi,3
